Cell,E score,M score,Subtype
RU1215_192110488599350,-5.744425699357078,0.24711518324965837,SCLC-N
RU1152_130751366121844,0.6120989113149169,4.552671541877249,SCLC-A
RU1231A_120703424294126,-0.8358873395081594,1.0040451044183538,SCLC-N
RU1322A_LN_133924258008493,-2.1602833719306234,-1.4985554393212763,SCLC-P
RU1181B_169649541863334,-1.2384602590225766,0.4803114669991744,SCLC-N
RU1108a_RPMI_164761076713396,8.105905526558969,-2.140371222285022,SCLC-A
RU1231A_155914237328627,-2.7988643625703906,0.9542064444962499,SCLC-N
RU1215_134396885264734,-5.803721386431626,0.27206774883709417,SCLC-N
RU1231A_134394584096091,-2.5089873390941935,1.1140996330687973,SCLC-N
RU1145_170180373265117,1.0859435048759338,-0.26609414618842353,SCLC-A
RU1152_125744641947573,-0.4593428575332136,4.635093785467891,SCLC-A
RU1108a_Bambanker_232318649977766,7.445282985499584,-2.2648149277850145,SCLC-A
RU1066_195967073508188,-0.3195945134354894,1.8589375839462323,SCLC-A
RU1293A_191767562348387,-3.0904968518363205,-1.8135676304877706,SCLC-N
RU1080C_232389351167925,1.5089990045404615,2.326107030556699,SCLC-A
RU1293A_164640683677404,-2.808355674154611,-1.3790829342891966,SCLC-N
RU1144_LN_134540497901989,0.4767185630354644,4.953953102967191,SCLC-A
RU1215_236167967390627,-6.072445101006982,-1.6596959924459416,SCLC-N
RU1229A_Frozen_164710463950109,-3.6840849350267026,-1.2462727811186138,SCLC-A
RU1108a_Bambanker_Frozen_227364270627237,6.702932763676958,-2.1832292527352712,SCLC-A
RU1181B_226394635626294,-1.420828550740453,0.718278810185123,SCLC-N
RU1181B_165784084240756,-1.657701582008697,0.1939701319717268,SCLC-N
RU1322A_LN_162078856755548,-4.687369614412038,-2.5920983872820758,SCLC-P
RU1231A_191166535358253,-1.5320481865120614,1.0453127070032822,SCLC-N
RU1080C_130049272825758,-2.1651093836598716,-0.1364588140513941,SCLC-A
RU1229A_Frozen_165378362850604,1.5884430163312602,2.34822165349098,SCLC-A
RU1144_LN_200994213456747,-1.1834945111298367,3.8122646027191744,SCLC-A
RU1322A_LN_160921510067628,-1.9907350501837158,-1.483865639119985,SCLC-P
RU1066_235548446186341,-0.31111737779693127,-0.08198964692726418,SCLC-A
RU1145_236082068110763,2.189812876043834,-0.7243819886554576,SCLC-A
RU1229A_Frozen_204770951223157,-0.6820622778585139,1.5395790656679256,SCLC-A
RU1080C_162078857058531,0.15013018353545354,2.4029428491439146,SCLC-A
RU1181B_227914129033139,-2.2492342457716834,0.3437539611248618,SCLC-N
RU1108a_RPMI_129457506380510,6.206334560729924,-1.9679306769296008,SCLC-A
RU1322A_LN_199937951382750,-2.403581841011588,-1.4822698128362957,SCLC-P
